impl,profile,trace_path,N,seed,elapsed_ms,ops_total,inserts,erases,table_size,active,available,tombstones,total_probes,inserts,deletes,lookups,full_scans,compactions,max_in_table,available_pct,load_factor_pct,eff_load_factor_pct,tombstones_pct,average_probes,probe_type,compaction_state
hash_map_double,lru_profile,lru_profile_N_1024_S_23.trace,1024,23,35.4146,20925,12288,8637,1279,1024,101,154,117866,9661,8637,0,0,23,1024,7,80,92,12,6.441469,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_1024_S_23.trace,1024,23,38.5213,20925,12288,8637,1279,1024,226,29,305187,9661,8637,0,0,19,1024,17,80,82,2,16.678708,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_1048576_S_23.trace,1048576,23,13880.9,21399976,12582912,8817064,1310809,78032,1164545,68232,32805635,5077069,4999037,0,0,0,138016,88,5,11,5,3.255785,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_1048576_S_23.trace,1048576,23,10248.9,21399976,12582912,8817064,1310809,78032,1172778,59999,34044375,5077069,4999037,0,0,0,138016,89,5,10,4,3.378723,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_131072_S_23.trace,131072,23,3161.08,2673914,1572864,1101050,163861,70647,17267,75947,11671485,802458,731811,0,0,0,92934,10,43,89,46,7.607196,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_131072_S_23.trace,131072,23,1965.52,2673914,1572864,1101050,163861,70647,35697,57517,16027142,802458,731811,0,0,0,92934,21,43,78,35,10.446110,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_16384_S_23.trace,16384,23,577.606,334408,196608,137800,20479,16384,2347,1748,1914123,154184,137800,0,0,23,16384,11,80,88,8,6.555575,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_16384_S_23.trace,16384,23,666.205,334408,196608,137800,20479,16384,1740,2355,5498610,154184,137800,0,0,18,16384,8,80,91,11,18.831888,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_2048_S_23.trace,2048,23,71.5057,41840,24576,17264,2551,2048,133,370,245087,19312,17264,0,0,23,2048,5,80,94,14,6.700760,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_2048_S_23.trace,2048,23,77.5568,41840,24576,17264,2551,2048,133,370,612871,19312,17264,0,0,19,2048,5,80,94,14,16.756097,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_262144_S_23.trace,262144,23,3593.36,5349617,3145728,2203889,327739,77412,162619,87708,11181178,1365604,1288192,0,0,0,123465,49,23,50,26,4.213277,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_262144_S_23.trace,262144,23,2634.44,5349617,3145728,2203889,327739,77412,190031,60296,13225102,1365604,1288192,0,0,0,123465,57,23,42,18,4.983466,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_32768_S_23.trace,32768,23,1172.65,668728,393216,275512,40849,32768,2230,5851,3860533,308280,275512,0,0,23,32768,5,80,94,14,6.612857,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_32768_S_23.trace,32768,23,1399.01,668728,393216,275512,40849,32768,2739,5342,11942681,308280,275512,0,0,18,32768,6,80,93,13,20.457082,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_4096_S_23.trace,4096,23,143.91,83558,49152,34406,5101,4096,813,192,478638,38502,34406,0,0,24,4096,15,80,84,3,6.564959,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_4096_S_23.trace,4096,23,156.593,83558,49152,34406,5101,4096,317,688,1225209,38502,34406,0,0,19,4096,6,80,93,13,16.804864,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_524288_S_23.trace,524288,23,6924.23,10700030,6291456,4408574,655243,77825,500224,77194,17975100,2593088,2515263,0,0,0,136594,76,11,23,11,3.518768,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_524288_S_23.trace,524288,23,4912.7,10700030,6291456,4408574,655243,77825,517219,60199,19367526,2593088,2515263,0,0,0,136594,78,11,21,9,3.791346,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_65536_S_23.trace,65536,23,1402.6,1337551,786432,551119,81931,52243,15955,13733,6914417,511599,459356,0,0,6,58123,19,63,80,16,7.121254,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_65536_S_23.trace,65536,23,1629.79,1337551,786432,551119,81931,52243,4912,24776,15884511,511599,459356,0,0,4,58123,5,63,94,30,16.359678,single,compaction_on
hash_map_double,lru_profile,lru_profile_N_8192_S_23.trace,8192,23,273.874,167251,98304,68947,10273,8192,518,1563,954504,77139,68947,0,0,22,8192,5,79,94,15,6.533850,double,compaction_on
hash_map_single,lru_profile,lru_profile_N_8192_S_23.trace,8192,23,310.92,167251,98304,68947,10273,8192,1177,904,2583903,77139,68947,0,0,18,8192,11,79,88,8,17.687547,single,compaction_on
